metro,run_id,place_id,name,rating,types,lat,lon
Sgo del Estero - La Banda,20171117,e2fbed158bd764147afb48bb5db71ecca6732328,Estudio Rodriguez & Asociados,4.5,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7960288,-64.2599488
Sgo del Estero - La Banda,20171117,74184bdec62af81e276ef8e73651d20b9d6cffb2,Estudio Roberto Soria,4,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7939309,-64.2708817
Sgo del Estero - La Banda,20171117,b68cabab7c3d505d1ce2ad23ad9f7b424c67b215,Salto Inmobiliaria,5,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.79208,-64.268033
Sgo del Estero - La Banda,20171117,da57d3377b743d39d1c13e5c1441c0d161d8d681,CPN Basbus Sebastian,NA,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7864733,-64.2656912
Sgo del Estero - La Banda,20171117,b4f9fbda3b3c6c27c95328d98aa1dd077e1d7a72,"Estudio Facello, Palavecino & Asociados",NA,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7914912,-64.2622794
Sgo del Estero - La Banda,20171117,6b78ba0427dc6eda890465ccae58331ce8853c52,Contador Publico Migueles Guillermo Ramon Elias,NA,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7815485,-64.2642989
Sgo del Estero - La Banda,20171117,f416dcaa8cadb59cd848e44c8620970c2d187099,Fiscalía de Estado Provincia de Santiago del Estero,3,"{""accounting"",""local_government_office"",""finance"",""point_of_interest"",""establishment""}",-27.784799,-64.262948
Sgo del Estero - La Banda,20171117,f522429974425a5261439ff25a560aeff0e07d77,Estudio Contable Martinez y Asociados,4,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7796843,-64.263906
Sgo del Estero - La Banda,20171117,a77cba77b4f7212ba7c744feadaa33c997e47465,Yoles,NA,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7879642,-64.2618156
Sgo del Estero - La Banda,20171117,8004ec370636ad7dce1425742f5f81d71691cd59,Estudio Integral del Noa,NA,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.789333,-64.259285
Sgo del Estero - La Banda,20171117,1cb741c0637dc89adeeae4583aab9f3322db04bc,Numa Carlos Rolando,NA,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7294612,-64.2351881
Sgo del Estero - La Banda,20171117,229c32c50e7e7f7983033eb2ea1ad8547f9dd009,Estudio Contable Hector Gallego,NA,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.729858,-64.2371819
Sgo del Estero - La Banda,20171117,b1d161522e28217a8cec924e929ef03639214a74,Dirección general De Rentas La Banda,1,"{""accounting"",""local_government_office"",""finance"",""point_of_interest"",""establishment""}",-27.7295292,-64.237612
Sgo del Estero - La Banda,20171117,b9e33705c7d1b011bd6129c0994c944a356715a0,Nelida Susana Kvapil Contadora Publica,5,"{""accounting"",""finance"",""point_of_interest"",""establishment""}",-27.7455943,-64.2501341
Sgo del Estero - La Banda,20171117,46013e875f557292d948a677c2ff7a3d246a7b47,Helipuerto FORUM,4,"{""airport"",""point_of_interest"",""establishment""}",-27.7804809,-64.2612138
Sgo del Estero - La Banda,20171117,16ac2f8f6073f8eb1a193592cc6a24285ebc1d7b,Helipuerto Forum,5,"{""airport"",""point_of_interest"",""establishment""}",-27.780469,-64.261248
Sgo del Estero - La Banda,20171117,1ebb18713e5c01f546b8370701f6036a990c509f,Helipuerto Tribunales,4,"{""airport"",""point_of_interest"",""establishment""}",-27.7813768,-64.2650172
Sgo del Estero - La Banda,20171117,72a7d555cef4263ddc0346736e5ab5503269c181,Vicecomodoro Ángel de la Paz Aragonés Airport,4,"{""airport"",""point_of_interest"",""establishment""}",-27.757586,-64.3010113
Sgo del Estero - La Banda,20171117,96279830342c27a36b70ec1c0692f14159e12520,Neverland Santiago del Estero,4.2,"{""amusement_park"",""point_of_interest"",""establishment""}",-27.7768344,-64.2569981
Sgo del Estero - La Banda,20171117,cf631574159ff7a4a8a276d36e154dbff58de089,Acuario Jeo,4,"{""aquarium"",""point_of_interest"",""establishment""}",-27.794676,-64.251545
Sgo del Estero - La Banda,20171117,ee9221e58e2f15b6cab7b8225b14223b0d47c951,Bonacina Pintureria,4.3,"{""art_gallery"",""point_of_interest"",""establishment""}",-27.7964598,-64.2504411
Sgo del Estero - La Banda,20171117,e013137f30e7dcaecd790f52ff9a220aa2ff4cde,Cajero Automatico BSE,2.3,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.8160962,-64.2371853
Sgo del Estero - La Banda,20171117,c154dea6a12e6228370ada23fb6c52eae65f574c,BSE Link,NA,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.8191739,-64.2479731
Sgo del Estero - La Banda,20171117,37ad0481b7b7886fa57071ff23cb58630fc64f8c,BSE Banco de Santiago del Estero- Cajeros Automaticos,3.6,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.8418544,-64.2638524
Sgo del Estero - La Banda,20171117,d6e61ba1af59d9458ecfc24a55b64ff1336f3c0b,Rapipago,NA,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.8035534,-64.2683116
Sgo del Estero - La Banda,20171117,11745f713b502c79932c4f7b583b3abd71e0dc28,BSE Link,4,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.8124212,-64.3034737
Sgo del Estero - La Banda,20171117,fa5c23f6b0033f30747310183ad4f107a747538e,BSE Banco Santiago del Estero,3.5,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.791062,-64.258304
Sgo del Estero - La Banda,20171117,2555470748df48725972a6ac380b53b439ebec03,Cajero automatico,4.5,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7650128,-64.2473748
Sgo del Estero - La Banda,20171117,cd2406a4042945a2e5a3d1cbf43930fe18b51a3c,ATM BSE (Link),NA,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7843075,-64.2552537
Sgo del Estero - La Banda,20171117,b110a72de47e43a3b01d811a4ec88f2560f025c2,BSE Cajeros Automáticos,2.8,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7872098,-64.2551484
Sgo del Estero - La Banda,20171117,e7e7260817263ca226f8b28c8a1b87b43c21a483,Cajero Automático Banco Santiago del Estero,4.5,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7669519,-64.2521131
Sgo del Estero - La Banda,20171117,a3444560b4304c2f79edcc362ba2136c786f9dd8,Banco Galicia,NA,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.8015831,-64.2509192
Sgo del Estero - La Banda,20171117,18e209ba1c2f510a3f0a92e62e0dab15b43dc6b1,Link Cajero Automatico,4.2,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7873416,-64.2590585
Sgo del Estero - La Banda,20171117,9353e7ba0c1cb2fe3f4f9f8c03f736ef4dcc940e,Banco Santiago del Estero,3.5,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.8012489,-64.2522259
Sgo del Estero - La Banda,20171117,b4852c16b0cbf83b0d2ec098ce216c170b0abd16,Banelco Cajero Automatico Banco Galicia,4,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7880187,-64.2591518
Sgo del Estero - La Banda,20171117,bfa3881e01c8cfb0b75f701bb6b71dd69a696bbe,Banco Santiago del Estero,NA,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7784117,-64.263468
Sgo del Estero - La Banda,20171117,0cfbfa682608bb27833fab033158b8d47d01b012,BSE Banco Santiago del Estero,4.4,"{""bank"",""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7820289,-64.2655624
Sgo del Estero - La Banda,20171117,83120ab6d0cd797373a8d4640c84d935202ef2de,Banelco Macro,3,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.788929,-64.261261
Sgo del Estero - La Banda,20171117,d5e194288b70a7eaae016c3011731a45ca7934a8,Estudio Juridico Chilio Rusz,3,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7832886,-64.2705678
Sgo del Estero - La Banda,20171117,3396ce47114735aa6bcc07eeebd7d367ee4fd7a1,Terminal De Omnibus Vieja,NA,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7946813,-64.2640774
Sgo del Estero - La Banda,20171117,104aaad7c8ea3794701e3fa4276ec296859d3c20,Cajero Red Link,4.3,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7589608,-64.2947596
Sgo del Estero - La Banda,20171117,8d9f78a5a980cff349e788c749fd8c5313355c97,Agencia De Tombola 520,NA,"{""atm"",""finance"",""point_of_interest"",""establishment""}",-27.7310403,-64.2381727
